title_de,title_en
Assistenzarzt/-ärztin (Uni) - Öffentliches Gesundheitswesen ,Assistenzarzt/-ärztin (Uni) - Öffentliches Gesundheitswesen 
Assistenzarzt/-ärztin (Uni) - Orthopädie und Unfallchirurgie ,Assistenzarzt/-ärztin (Uni) - Orthopädie und Unfallchirurgie 
Assistenzarzt/-ärztin (Uni) - Pathologie ,Assistenzarzt/-ärztin (Uni) - Pathologie 
Assistenzarzt/-ärztin (Uni) - Pharmakologie und Toxikologie ,Assistenzarzt/-ärztin (Uni) - Pharmakologie und Toxikologie 
Assistenzarzt/-ärztin (Uni) - Physikal./Rehabilitat. ,Assistenzarzt/-ärztin (Uni) - Physikal./Rehabilitat. 
Assistenzarzt/-ärztin (Uni) - Physiologie ,Assistenzarzt/-ärztin (Uni) - Physiologie 
Assistenzarzt/-ärztin (Uni) - Plastische Chirurgie ,Assistenzarzt/-ärztin (Uni) - Plastische Chirurgie 
Assistenzarzt/-ärztin (Uni) - Psychiatrie u. Psychotherapie ,Assistenzarzt/-ärztin (Uni) - Psychiatrie u. Psychotherapie 
Assistenzarzt/-ärztin (Uni) - Psychosom. Medizin u. Psychoth ,Assistenzarzt/-ärztin (Uni) - Psychosom. Medizin u. Psychoth 
Assistenzarzt/-ärztin (Uni) - Radiologie ,Assistenzarzt/-ärztin (Uni) - Radiologie 
Assistenzarzt/-ärztin (Uni) - Rechtsmedizin ,Assistenzarzt/-ärztin (Uni) - Rechtsmedizin 
"Assistenzarzt/-ärztin (Uni) - Sprach-, Stimm- u. kindl.Hörst ","Assistenzarzt/-ärztin (Uni) - Sprach-, Stimm- u. kindl.Hörst "
Assistenzarzt/-ärztin (Uni) - Strahlentherapie ,Assistenzarzt/-ärztin (Uni) - Strahlentherapie 
Assistenzarzt/-ärztin (Uni) - Thoraxchirurgie ,Assistenzarzt/-ärztin (Uni) - Thoraxchirurgie 
Assistenzarzt/-ärztin (Uni) - Transfusionsmedizin ,Assistenzarzt/-ärztin (Uni) - Transfusionsmedizin 
Assistenzarzt/-ärztin (Uni) - Urologie ,Assistenzarzt/-ärztin (Uni) - Urologie 
Assistenzarzt/-ärztin (Uni) - Viszeralchirurgie ,Assistenzarzt/-ärztin (Uni) - Viszeralchirurgie 
Assistenz-Tanzlehrer/in ,Assistenz-Tanzlehrer/in 
Assistenzzahnarzt/-ärztin,Assistenzzahnarzt/-ärztin
Astro-/Weltraumphysiker/in (Uni) ,Astro-/Weltraumphysiker/in (Uni) 
Astrologe/Astrologin,Astrologe/Astrologin
Astronom/in (Uni) ,Astronom/in (Uni) 
Astrophysik (weiterführend),Astrophysik (weiterführend)
"Astrophysiker/in, Astronom/in","Astrophysiker/in, Astronom/in"
"Atem-, Sprech- und Stimmlehrer/in","Atem-, Sprech- und Stimmlehrer/in"
"Atem-,Sprech-,Stimmlehrer/in-künstlerisch-musischer Bereich ","Atem-,Sprech-,Stimmlehrer/in-künstlerisch-musischer Bereich "
Atemtherapeut/in ,Atemtherapeut/in 
"Audio-, Sounddesign (grundständig)","Audio-, Sounddesign (grundständig)"
"Audio-, Sounddesign (weiterführend)","Audio-, Sounddesign (weiterführend)"
Audiodesigner/in - Musik,Audiodesigner/in - Musik
Audiologie-Phoniatrie-Assistent/in ,Audiologie-Phoniatrie-Assistent/in 
Audio-Techniker/in ,Audio-Techniker/in 
Aufbereiter/in - Bergbau ,Aufbereiter/in - Bergbau 
Aufbereitungsingenieur/in (Bergbau) ,Aufbereitungsingenieur/in (Bergbau) 
Aufbereitungsmechaniker/in,Aufbereitungsmechaniker/in
Aufbereitungsmechaniker/in - Braunkohle,Aufbereitungsmechaniker/in - Braunkohle
Aufbereitungsmechaniker/in - Feuerfeste/keramische Rohstoffe,Aufbereitungsmechaniker/in - Feuerfeste/keramische Rohstoffe
Aufbereitungsmechaniker/in - Naturstein,Aufbereitungsmechaniker/in - Naturstein
Aufbereitungsmechaniker/in - Sand und Kies,Aufbereitungsmechaniker/in - Sand und Kies
Aufbereitungsmechaniker/in - Sortierung/Klassierung ,Aufbereitungsmechaniker/in - Sortierung/Klassierung 
